id,candidate_id,job_order_id,client_id,start_date,end_date,placement_type,bill_rate,pay_rate,status
1,2,1,1,2023-03-01,2023-09-01,contract,150,95,completed
2,4,2,2,2023-04-15,2023-10-15,contract,140,88,completed
3,3,3,3,2023-05-20,2024-05-20,permanent,0,120000,active
4,1,4,4,2023-06-15,2023-12-15,contract,135,85,completed
5,5,5,5,2023-07-25,2024-01-25,contract,145,90,completed
6,6,6,6,2023-08-10,2023-11-10,contract,110,70,completed
7,13,7,7,2023-09-20,2024-03-20,contract,155,98,completed
8,14,8,8,2023-10-15,2024-10-15,permanent,0,95000,active
9,12,9,9,2023-11-05,2024-05-05,contract,160,100,completed
10,11,10,10,2023-12-10,2024-06-10,contract,170,110,completed
11,15,11,11,2024-01-15,2024-07-15,contract,165,105,completed
12,16,12,12,2024-02-05,2024-08-05,contract,150,95,completed
13,17,13,13,2024-03-05,2024-09-05,contract,175,115,completed
14,9,14,14,2024-04-10,2024-10-10,contract,140,88,completed
15,27,15,15,2024-05-05,2024-11-05,contract,130,82,completed
16,10,16,16,2024-06-05,2024-12-05,contract,135,85,completed
17,7,17,17,2024-07-05,2025-01-05,contract,120,75,active
18,18,18,18,2024-08-05,2025-02-05,contract,130,82,active
19,20,19,19,2024-09-05,2025-09-05,permanent,0,130000,active
20,22,20,20,2024-10-05,2025-04-05,contract,145,90,active
21,30,21,21,2023-04-10,2023-10-10,contract,148,93,completed
22,12,22,22,2023-06-20,2023-12-20,contract,138,87,completed
23,23,23,23,2023-08-15,2024-02-15,contract,172,112,completed
24,44,24,24,2023-10-10,2024-04-10,contract,152,96,completed
25,25,25,25,2023-12-05,2024-06-05,contract,162,102,completed
26,46,26,26,2024-02-20,2024-08-20,contract,135,85,completed
27,16,27,27,2024-03-30,2024-09-30,contract,155,98,completed
28,35,28,28,2024-05-15,2024-11-15,contract,148,93,completed
29,29,29,29,2024-06-25,2024-12-25,contract,142,89,completed
30,63,30,30,2024-08-05,2025-02-05,contract,158,100,active
31,31,31,1,2024-02-25,2024-08-25,contract,142,89,completed
32,32,32,2,2024-04-05,2024-10-05,contract,178,118,completed
33,33,33,3,2024-04-20,2025-04-20,permanent,0,98000,active
34,34,34,4,2024-06-01,2024-12-01,contract,125,78,completed
35,35,35,5,2024-07-10,2025-01-10,contract,132,83,active
36,36,36,6,2024-07-20,2024-10-20,contract,122,76,completed
37,37,37,7,2024-09-01,2025-03-01,contract,168,108,active
38,38,38,8,2024-09-10,2025-03-10,contract,132,83,active
39,39,39,9,2024-10-20,2025-04-20,contract,168,108,active
40,40,40,10,2024-12-01,2025-12-01,permanent,0,132000,active
41,41,41,11,2023-03-25,2023-09-25,contract,152,96,completed
42,42,42,12,2023-06-05,2023-12-05,contract,138,87,completed
43,43,43,13,2023-07-15,2024-01-15,contract,142,89,completed
44,24,44,14,2023-09-25,2024-03-25,contract,148,93,completed
45,45,45,15,2023-12-05,2024-06-05,contract,145,91,completed
46,46,46,16,2024-01-15,2024-07-15,contract,158,100,completed
47,47,47,17,2024-03-25,2024-09-25,contract,152,96,completed
48,48,48,18,2024-06-05,2024-12-05,contract,162,102,completed
49,49,49,19,2024-07-15,2025-01-15,contract,172,112,active
50,50,50,20,2024-09-25,2025-03-25,contract,178,118,active
